atleta_id,apelido,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,status_id,variacao_num
80692,Luan,275,https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png,0,0.0,Luan Garcia Teixeira,0.0,3,7.0,2,{},6,0.0
83772,Neilton,276,https://s.glbimg.com/es/sde/f/2017/04/25/87ba88228677466e48ff7e3d719d7e4a_FORMATO.png,0,0.0,Neilton Meira Mestzk,0.0,5,5.0,2,{},6,0.0
84917,Jeferson,303,https://s.glbimg.com/es/sde/f/2017/05/02/771b51917a7ef2187ffea3d1e0fc9277_FORMATO.png,0,0.0,Jeferson de Araújo de Carvalho,0.0,2,5.0,2,{},6,0.0
37645,Marcelo Mattos,267,https://s.glbimg.com/es/sde/f/2017/04/24/9a29fddd4a0809d8eddbb3392169730b_FORMATO.png,0,0.0,Marcelo Mendonça de Mattos Terra,0.0,4,4.0,2,{},5,0.0
84554,Lucão,276,https://s.glbimg.com/es/sde/f/2016/05/01/48f192fdba1691586d6a2bfd42288481_FORMATO.png,0,0.0,Lucas Cavalcante Silva Afonso,0.0,3,3.0,2,{},6,0.0
82627,Luiz Araújo,276,https://s.glbimg.com/es/sde/f/2016/06/28/d04aecda981fb0bfc0a4ad62d633777c_FORMATO.jpeg,2,6.6,Luiz de Araujo Guimaraes Neto,10.6,5,11.91,2,"{'FC': 1, 'FD': 2, 'FF': 1, 'FS': 1, 'G': 1, 'PE': 3, 'RB': 2}",6,3.0
85931,Hyoran,275,https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png,1,0.8,Hyoran Kaue Dalmoro,0.8,4,2.54,2,"{'FC': 1, 'FS': 1, 'PE': 3, 'RB': 1}",6,-0.46
86227,Morato,276,https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png,0,0.0,Andrew Erik Feitosa,0.0,5,3.0,2,{},5,0.0
85241,Yerry Mina,275,https://s.glbimg.com/es/sde/f/2017/04/18/5d127fbc9c3d26f69de26952da18b809_FORMATO.png,1,6.6,Yerry Fernando Mina González,0.0,3,17.4,2,"{'FC': 1, 'FD': 1, 'PE': 2, 'RB': 1, 'SG': 1}",7,0.0
84848,Erik,275,https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png,1,2.6,Erik Nascimento Lima,2.6,5,4.79,2,"{'FF': 1, 'FS': 1, 'PE': 1, 'RB': 1}",6,-0.21
85083,Vinicius Silvestre,275,https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png,0,0.0,Vinicius Silvestre da Costa,0.0,1,2.0,2,{},6,0.0
87350,Buffarini,276,https://s.glbimg.com/es/sde/f/2016/08/18/4be0e28d27402ead434d4b7dae9ea797_FORMATO.png,1,6.9,Julio Buffarini,6.9,2,8.87,2,"{'FS': 1, 'PE': 1, 'RB': 1, 'SG': 1}",7,0.87
86120,Borja,275,https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png,1,16.1,Miguel Angel Borja Hernandez,0.0,5,22.71,2,"{'FC': 2, 'FF': 2, 'FS': 2, 'G': 2, 'I': 2, 'PE': 1}",7,0.0
86686,Tchê Tchê,275,https://s.glbimg.com/es/sde/f/2016/05/20/2b96e76d6b1e3f8fc29f37d9dfe90206_FORMATO.jpeg,2,1.85,Danilo das Neves Pinheiro,0.5,4,7.98,2,"{'A': 1, 'FC': 3, 'FS': 1, 'PE': 1}",7,-1.3599999999999999
87211,Eduardo Baptista,293,https://s.glbimg.com/es/sde/f/2017/04/23/67a7839c4535a3abde7057b0b06ab607_FORMATO.png,0,0.0,Eduardo Augusto Baptista Miguel,0.0,6,13.0,2,{},6,0.0
86485,Keno,275,https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_FORMATO.png,2,0.7000000000000001,Marcos da Silva França,1.4,5,5.78,2,"{'PE': 1, 'RB': 1}",6,-1.29
89839,Andres Chavez,276,https://s.glbimg.com/es/sde/f/2016/08/18/9b7fee1b9878c569ab7eab653ef62fd1_FORMATO.png,0,0.0,Andres Eliseo Chavez,0.0,5,7.0,2,{},6,0.0
89343,Júnior Tavares,276,https://s.glbimg.com/es/sde/f/2017/02/09/25d0a51f886e8f5b2db83e4bea6a4e20_FORMATO.png,2,4.7,Carlos Eugenio Júnior Tavares dos Santos,3.4,2,10.47,2,"{'FC': 2, 'FD': 1, 'FF': 1, 'FS': 2, 'PE': 8, 'RB': 3, 'SG': 1}",7,0.5700000000000001
93146,Yan,275,https://s.glbimg.com/es/sde/f/2017/05/11/eb94eeb460306451c24553f35509e933_FORMATO.png,0,0.0,Yan Matheus Santos Souza,0.0,4,1.0,2,{},6,0.0
89898,Róger Guedes,275,https://s.glbimg.com/es/sde/f/2017/04/18/8320b12c035d14425a7a1685c28eea51_FORMATO.png,2,0.05,Róger Krug Guedes,0.6000000000000001,5,5.54,2,"{'FC': 3, 'FS': 5, 'PE': 3}",7,-1.8900000000000001
91260,Lucas Perri,276,https://s.glbimg.com/es/sde/f/2016/05/01/33edb005bdd244f616d094e71ba6c3a8_FORMATO.png,0,0.0,Lucas Estella Perri,0.0,1,2.0,2,{},6,0.0
94509,Raphael Veiga,275,https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png,1,1.4,Raphael Cavalcante Veiga,1.4,4,5.73,2,"{'FS': 4, 'PE': 2}",6,-1.27
94931,Lucas Fernandes,276,https://s.glbimg.com/es/sde/f/2016/05/01/0a47d84040286532fb5d90cc746b49b3_FORMATO.png,0,0.0,Lucas Fernandes da Silva,0.0,4,4.0,2,{},6,0.0
95770,Vitinho,275,https://s.glbimg.com/es/sde/f/2017/04/18/6c5a1e7dd18a8228e581b5ca0798eec1_FORMATO.jpeg,0,0.0,Victor Hugo Santana Carvalho,0.0,4,3.0,2,{},6,0.0
93378,Augusto,275,https://s.glbimg.com/es/sde/f/2017/04/18/4e94d8b6d0b298c84f952ecfac2c11eb_FORMATO.png,0,0.0,Augusto de Souza Silva,0.0,3,1.0,2,{},6,0.0
95332,Marcinho,276,https://s.glbimg.com/es/sde/f/2017/05/23/e8920049ea5089d06057e32056851c14_FORMATO.png,2,3.15,Marcio Antonio de Sousa Júnior,5.9,5,3.94,2,"{'A': 1, 'FC': 5, 'FD': 1, 'FF': 1, 'FS': 2, 'PE': 2, 'RB': 1}",7,2.24
95660,Araruna,276,https://s.glbimg.com/es/sde/f/2017/02/09/565624d090495af948a09ef2a6efa7c7_FORMATO.png,0,0.0,Felipe Araruna Hoffman,0.0,4,2.0,2,{},6,0.0
97520,Shaylon,276,https://s.glbimg.com/es/sde/f/2017/02/09/81337ea0dca634d71b1201853010e1dd_FORMATO.png,0,0.0,Shaylon Kallyson Cardoso,0.0,4,1.0,2,{},6,0.0
61149,Lucca,303,https://s.glbimg.com/es/sde/f/2017/05/02/bd59d7bbf1fff0ce2e2dd4b489c5c99a_FORMATO.png,2,7.4,Lucca Borges Brito,0.9,5,15.25,2,"{'FC': 3, 'FD': 2, 'FF': 1, 'FS': 5, 'G': 1, 'I': 1, 'PE': 5, 'RB': 3}",7,0.47000000000000003
95936,Daniel Fuzato,275,https://s.glbimg.com/es/sde/f/2017/04/18/0521fd45c49f6fb1491a64df501d2e8d_FORMATO.png,0,0.0,Daniel Cerântula Fuzato,0.0,1,1.0,2,{},6,0.0
38425,Fábio Ferreira,303,https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png,0,0.0,Fábio Ferreira da Silva,0.0,3,5.0,2,{},6,0.0
37306,Gilson Kleina,303,https://s.glbimg.com/es/sde/f/2017/04/25/170c293b8b336044ef9d06f703796fcc_FORMATO.png,2,6.32,Gilson Kleina,2.89,6,11.22,2,{},7,1.5
38021,Wendel,303,https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png,2,-0.30000000000000004,Wendel Geraldo Maurício e Silva,-0.5,4,3.83,2,"{'FC': 1, 'FS': 1, 'PE': 2}",6,-1.76
97341,Rogério Ceni,276,https://s.glbimg.com/es/sde/f/2017/05/17/e94ae4319c9445845003491a2bb73f6b_FORMATO.png,2,3.74,Rogério Ceni,5.03,6,8.32,2,{},7,0.93
99424,Éder Militão,276,https://s.glbimg.com/es/sde/f/2017/05/04/a8a8f4eb8075ba4ad4fde3d5d0d6f996_FORMATO.png,1,-0.1,Éder Gabriel Militão,0.0,4,0.71,2,"{'FS': 1, 'PE': 2}",6,0.0
98952,Léo Natel,276,,0,0.0,Leonardo Natel Vieira,0.0,5,1.0,2,{},6,0.0
42213,Fernando Bob,303,https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png,1,8.1,Fernando Paixão da Silva,8.1,4,10.12,2,"{'FS': 1, 'PE': 3, 'RB': 5}",7,1.12
50427,Kadu,303,https://s.glbimg.com/es/sde/f/2017/05/02/414d5dd199f668338406b95b0d982b31_FORMATO.png,2,8.15,Ricardo Martins de Araújo,6.2,3,12.95,2,"{'FC': 3, 'FF': 1, 'FS': 1, 'PE': 1, 'RB': 7, 'SG': 1}",7,2.98
97645,Thiago Couto,276,,0,0.0,Thiago Couto Wenceslau,0.0,1,1.0,2,{},6,0.0
73384,Samuel Xavier,292,https://s.glbimg.com/es/sde/f/2016/05/01/02f546c1013f3369de8475d0bf247287_FORMATO.png,2,-3.0,Samuel Xavier Brito,-1.1,2,0.73,2,"{'CA': 1, 'FC': 1, 'I': 1, 'PE': 10}",5,-1.46
37246,Ney Franco,292,https://s.glbimg.com/es/sde/f/2017/05/01/e3a7ef289f52e2e872639c6ef7d42044_FORMATO.png,2,0.42,Ney Franco da Silveira Júnior,1.62,6,2.15,2,{},7,-0.13
51319,Renato Cajá,303,https://s.glbimg.com/es/sde/f/2017/05/02/c6dd544b90a2c4194626f51e05b53b4e_FORMATO.png,0,0.0,Renato Adriano Jacó de Morais,0.0,4,9.0,2,{},6,0.0
38632,Matheus Ferraz,292,https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png,2,1.0,Matheus Ferraz Pereira,2.2,3,3.9,2,"{'FC': 5, 'FF': 1, 'FS': 1, 'PE': 6, 'RB': 3}",7,-0.2
68690,André,292,https://s.glbimg.com/es/sde/f/2017/03/12/15292d87c87458b6575b789d1e0b3a77_FORMATO.png,1,-1.1,André Felipe Ribeiro de Souza,0.0,5,3.47,2,"{'FC': 2, 'FS': 1, 'PE': 2}",6,0.0
55594,Xuxa,303,https://s.glbimg.com/es/sde/f/2017/04/25/f61368b41b39832165af38d0ac96fda8_FORMATO.png,2,0.55,Cássio Luís Rissardo,1.4,4,2.44,2,"{'PE': 2, 'RB': 1}",6,-0.18
68808,Nino Paraíba,303,https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png,2,12.4,Severino do Ramo Clementino da Silva,2.0,2,22.94,2,"{'A': 1, 'FC': 3, 'FF': 1, 'FS': 3, 'G': 1, 'PE': 8, 'RB': 5, 'SG': 1}",7,1.8599999999999999
69010,João Carlos,303,https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png,0,0.0,João Carlos Heidemann,0.0,1,5.0,2,{},6,0.0
60788,Marquinhos,292,https://s.glbimg.com/es/sde/f/2017/05/03/cc800ad5ce3aeb287358e50e4352911b_FORMATO.png,0,0.0,Marcos Antônio da Silva Gonçalves,0.0,5,5.0,2,{},6,0.0
